,public,name,url
249,True,haldarritam/N-Body-Simulation-CUDA,https://api.github.com/repos/haldarritam/N-Body-Simulation-CUDA
250,True,Pyhro36/TD3-GPU-CUDA,https://api.github.com/repos/Pyhro36/TD3-GPU-CUDA
253,True,QipengGuo/PyTorch_cuda_ops,https://api.github.com/repos/QipengGuo/PyTorch_cuda_ops
254,True,vinx13/tvm-cuda-int8-benchmark,https://api.github.com/repos/vinx13/tvm-cuda-int8-benchmark
256,True,micallef25/Project3-CUDA-Path-Tracer,https://api.github.com/repos/micallef25/Project3-CUDA-Path-Tracer
257,True,cad420/cuda-vol,https://api.github.com/repos/cad420/cuda-vol
258,True,kvichans/cuda_kv_dlg,https://api.github.com/repos/kvichans/cuda_kv_dlg
259,True,milk-org/cudacomp,https://api.github.com/repos/milk-org/cudacomp
260,True,faiyazchowdhury/DFT-using-CUDA,https://api.github.com/repos/faiyazchowdhury/DFT-using-CUDA
261,True,joehoeller/Anaconda-CUDA-Accelerated-TensorFlowGPU-Development-Environment,https://api.github.com/repos/joehoeller/Anaconda-CUDA-Accelerated-TensorFlowGPU-Development-Environment
262,True,termoshtt/rust-cuda-docker-action,https://api.github.com/repos/termoshtt/rust-cuda-docker-action
263,True,yaoshw/BruteForcePoseEstimatorCUDA,https://api.github.com/repos/yaoshw/BruteForcePoseEstimatorCUDA
264,True,tylerjw/cuda_fir,https://api.github.com/repos/tylerjw/cuda_fir
265,True,One3Three7/CUDARangeDopplerProcessing,https://api.github.com/repos/One3Three7/CUDARangeDopplerProcessing
266,True,alessandrocuda/alessandrocuda.github.io,https://api.github.com/repos/alessandrocuda/alessandrocuda.github.io
267,True,M12Shehab/Levenshtein-distance-CUDA-Repo,https://api.github.com/repos/M12Shehab/Levenshtein-distance-CUDA-Repo
269,True,unicredit/nimcuda,https://api.github.com/repos/unicredit/nimcuda
270,True,brandontrabucco/lstm-cuda,https://api.github.com/repos/brandontrabucco/lstm-cuda
271,True,naiveyueya/Solve-mxnet-problem-CUDA-unknow,https://api.github.com/repos/naiveyueya/Solve-mxnet-problem-CUDA-unknow
272,True,getrod/CUDA-Pitch-Detector,https://api.github.com/repos/getrod/CUDA-Pitch-Detector
273,True,jndean/CUDAjpg,https://api.github.com/repos/jndean/CUDAjpg
274,True,GiacomoGarbin/CUDA-Ray-Tracing,https://api.github.com/repos/GiacomoGarbin/CUDA-Ray-Tracing
276,True,GrigorKhachatryan/CUDA,https://api.github.com/repos/GrigorKhachatryan/CUDA
278,True,Clayton-notronixx/cudacare,https://api.github.com/repos/Clayton-notronixx/cudacare
279,True,Wynand/julia-cuda,https://api.github.com/repos/Wynand/julia-cuda
280,True,a-yoshimasa/barracuda,https://api.github.com/repos/a-yoshimasa/barracuda
282,True,ZheyuanXie/Project1-CUDA-Flocking,https://api.github.com/repos/ZheyuanXie/Project1-CUDA-Flocking
283,True,puttsk/cuda-tutorial,https://api.github.com/repos/puttsk/cuda-tutorial
284,True,Barracuda09/SATPI,https://api.github.com/repos/Barracuda09/SATPI
286,True,SaahilR/CUDA-GL-RayTracer,https://api.github.com/repos/SaahilR/CUDA-GL-RayTracer
287,True,wjn922/FFmpeg-CUDA,https://api.github.com/repos/wjn922/FFmpeg-CUDA
290,True,medvosa/cuda_html_navbar,https://api.github.com/repos/medvosa/cuda_html_navbar
291,True,chhavisharma/Project4-CUDA-ICP,https://api.github.com/repos/chhavisharma/Project4-CUDA-ICP
293,True,harrytang/cuda-gaussian-blur,https://api.github.com/repos/harrytang/cuda-gaussian-blur
295,True,gyr0tron/Parallel_Processing_CUDA,https://api.github.com/repos/gyr0tron/Parallel_Processing_CUDA
296,True,NVIDIA/grcuda,https://api.github.com/repos/NVIDIA/grcuda
297,True,kvichans/cuda_find_in_files,https://api.github.com/repos/kvichans/cuda_find_in_files
298,True,ericcuda/climate_study,https://api.github.com/repos/ericcuda/climate_study
299,True,Ishanptl/N-Body-simulation-using-CUDA,https://api.github.com/repos/Ishanptl/N-Body-simulation-using-CUDA
303,True,shacklettbp/cuda-lightning,https://api.github.com/repos/shacklettbp/cuda-lightning
304,True,allisonvacanti/cudaTasker,https://api.github.com/repos/allisonvacanti/cudaTasker
305,True,wagnerdelima/cuda-repository,https://api.github.com/repos/wagnerdelima/cuda-repository
